isbn,title,author,price,language,num_pages,date,rating,num_rating,category 1,category 2,category 3
9780007215997,The Tiger Who Came to Tea,Judith Kerr,648.74,English,32,06 Feb 2006,4.25,15536,Picture Books,Characters,Storybooks
9780545261241,The Wonky Donkey,Craig Smith,643.72,English,24,30 Nov 2018,4.41,7368,Animal Stories,Funny Books for Kids
9781878424310,The Four Agreements : A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,678.07,English,160,07 Nov 1997,4.17,272772,Philosophy Of Mind,Indigenous Peoples,Personal Development
9780008138301,All the Light We Cannot See,Anthony Doerr,687.12,English,544,01 May 2015,4.32,1252687,Contemporary Fiction
9781786495259,Call Me By Your Name,Andre Aciman,640.22,English,256,21 Dec 2017,4.15,330451,Contemporary Fiction,Erotic Fiction,Romance
9781398515697,Seven Husbands of Evelyn Hugo : Tiktok made me buy it!,Taylor Jenkins Reid,677.07,English,400,14 Oct 2021,4.48,863483,Contemporary Fiction,Romance,Romance Books
9780141340555,Roald Dahl's Marvellous Joke Book,Roald Dahl,633.8,English,128,06 Sep 2012,3.96,209,Activity Books,Classic Books for Children,Jokes & Humour
9780345514400,I Know Why the Caged Bird Sings,Maya Angelou,639.64,English,289,21 Apr 2009,4.27,465111,Biography: General,Autobiography: General,Biography: Literary
9780349134284,Everything I Never Told You,Celeste Ng,633.44,English,320,13 Nov 2014,3.86,428929,Contemporary Fiction
9781780552491,Brain Games For Clever Kids (R),Gareth Moore,608.8,English,192,01 Oct 2014,4.23,150,"Open Learning, Home Learning, Distance Education","Open Learning, Home Learning, Distance Education",Handicrafts
9781612680194,Rich Dad Poor Dad : What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,670.55,English,336,31 Oct 2018,4.11,476998,Management: Leadership & Motivation,Advice On Parenting,Personal Finance
9780340960196,Dune,Frank Herbert,673.47,English,592,23 Jul 2015,4.25,1030346,Contemporary Fiction,Science Fiction,Science Fiction
9781847394071,The Perks of Being a Wallflower : the most moving coming-of-age classic,Stephen Chbosky,672.56,English,240,10 Feb 2009,4.21,1469282,Contemporary Fiction
9781406338539,I Want My Hat Back,Jon Klassen,662.69,English,40,04 Oct 2012,4.32,29842,Picture Books,Storybooks,Animal Stories
9781471166204,They Both Die at the End : TikTok made me buy it! The international No.1 bestseller,Adam Silvera,661.6,English,384,07 Sep 2017,3.93,376599,Children's Fiction,Children's General Story Books,Romance Books for Teenagers
9780099549482,To Kill A Mockingbird : 60th Anniversary Edition,Harper Lee,639.67,English,320,29 Dec 2010,4.27,5170369,Contemporary Fiction,Classic Books & Novels,Historical Fiction
9781847382108,Dinosaurs Love Underpants,Claire Freedman,659.64,English,32,05 Jun 2008,3.92,2317,Picture Books,Storybooks,Children's Fiction
9780152632243,Possum Magic,Mem Fox,649.55,English,32,15 Sep 1991,4.18,8715,Storybooks,Children's Fiction,Children's General Story Books
9780142403877,The Gruffalo,Julia Donaldson,643.61,English,32,02 Mar 2006,4.43,38231,Children's General Story Books,Traditional,Animal Stories
9781780674872,Enchanted Forest : An Inky Quest & Colouring Book,Johanna Basford,684.88,English,84,25 Jun 2015,4.52,1721,Drawing,Illustration,Popular Psychology
9780152060305,Whoever You Are,Mem Fox,613.07,English,32,21 Apr 2007,4.17,3131,Picture Books,Children's Fiction,Children's General Story Books
9780141988511,12 Rules for Life : An Antidote to Chaos,Jordan B. Peterson,699.75,English,448,07 May 2019,3.93,151344,Social & Political Philosophy,Popular Philosophy,Psychology
9780007371464,Gangsta Granny,David Walliams,650.95,English,306,28 Feb 2013,4.27,19532,Funny Books for Kids
9781906040185,The Elegance of the Hedgehog,Muriel Barbery,692.47,English,320,28 May 2009,3.78,165281,Contemporary Fiction,Fiction In Translation
9781447279785,The 13-Storey Treehouse,Andy Griffiths,631.2,English,256,20 Mar 2015,4.02,10972,Children's Fiction,Children's General Story Books,Adventure Books for Kids
9781847941497,Never Split the Difference : Negotiating as if Your Life Depended on It,Chris Voss,684.66,English,288,23 Mar 2017,4.37,98890,Macroeconomics,Macroeconomics,Business Strategy
9781856753531,"The Little Book of Mindfulness : 10 minutes a day to less stress, more peace",Dr Patrizia Collard,637.9,English,96,27 May 2014,3.81,2784,Alternative Belief Systems,Therapy & Therapeutics,Sleep Disorders & Therapy
9781471403989,We Were Liars,E. Lockhart,637.55,English,240,13 May 2014,3.77,767561,Romance Books for Teenagers,Family
9780007263899,Stuck,Oliver Jeffers,656.17,English,32,26 Apr 2012,4.24,9856,Picture Books,Storybooks,Children's Fiction
9781398515628,The Spanish Love Deception : TikTok made me buy it! The Goodreads Choice Awards Debut of the Year,Elena Armas,679.58,English,480,28 Oct 2021,4.15,170018,Fiction Books,Contemporary Fiction,Erotic Fiction
9780349414263,The Hating Game : TikTok made me buy it! The perfect enemies to lovers romcom,Sally Thorne,652.08,English,384,07 Sep 2017,4.06,396003,Contemporary Fiction,Romance,Romance Books
9781974720149,Jujutsu Kaisen 0,Gege Akutami,718.13,English,200,31 Jul 2021,4.53,18476,Graphic Novels: Manga,Graphic Novels: Manga
9780142407547,The Gruffalo's Child,Julia Donaldson,642.75,English,32,01 Mar 2007,4.34,8885,Picture Books,Children's Fiction,Children's General Story Books
9781250316776,"Red, White & Royal Blue : A Novel",Casey McQuiston,698.5,English,432,14 May 2019,4.21,451710,Adult & Contemporary Romance,Adult & Contemporary Romance
9781408725764,The Love Hypothesis : Tiktok made me buy it! The romcom of the year!,Ali Hazelwood,652.08,English,384,21 Oct 2021,4.4,304707,Romance,Romance Books,Adult & Contemporary Romance
9781444775815,A Man Called Ove : The life-affirming bestseller that will brighten your day,Fredrik Backman,650.5,English,320,07 May 2015,4.36,728098,Contemporary Fiction,Fiction In Translation,Age Groups: The Elderly
9780007420124,The Art of War,Sun Tzu,596.42,English,112,14 Oct 2011,3.97,392479,Contemporary Fiction,Classic Books & Novels,Crime
9781408890042,Circe : The No. 1 Bestseller from the author of The Song of Achilles,Madeline Miller,686.65,English,352,24 Apr 2019,4.26,614659,Contemporary Fiction,Fantasy,Fantasy Books
9780811204811,No Longer Human,Osamu Dazai,705.65,English,176,01 Jan 2020,4.14,51150,Contemporary Fiction,Classic Books & Novels
9780571333134,Conversations with Friends : Soon to be a BBC Three Drama,Sally Rooney,677.81,English,336,01 Mar 2018,3.83,244114,Contemporary Fiction
9780141039282,The Help,Kathryn Stockett,621.1,English,464,13 May 2010,4.46,2412844,Contemporary Fiction
9781451690316,Fahrenheit 451,Ray Bradbury,657.53,English,158,23 May 2012,3.98,1972078,Contemporary Fiction,Classic Books & Novels,Science Fiction
9781408855652,Harry Potter and the Philosopher's Stone,J.K. Rowling,660.8,English,352,01 Sep 2014,4.48,8271494,Fantasy,Fantasy Books,Children's General Story Books
9780345409874,Women Who Run with the Wolves : Myths and Stories of the Wild Woman Archetype,Clarissa Pinkola Estés,677.11,English,608,01 Jan 1997,4.11,59469,Literary Studies: General,Society & Social Sciences,"Folklore, Myths & Legends"
9781838770013,The Beekeeper of Aleppo : The must-read million copy bestseller,Christy Lefteri,661.55,English,400,01 Apr 2020,4.2,85217,Contemporary Fiction
9780316769488,The Catcher in the Rye,J. D. Salinger,653.03,English,224,18 Mar 2005,3.81,3061427,Language Teaching & Learning Material & Coursework,Contemporary Fiction,Classic Books & Novels
9781785763670,The Tattooist of Auschwitz : the heart-breaking and unforgettable international bestseller,Heather Morris,612.27,English,352,18 Oct 2018,4.27,657326,Historical Fiction
9781844285136,Don't Let the Pigeon Drive the Bus!,Mo Willems,663.09,English,40,22 Jul 2011,4.3,89409,Picture Books,Children's Fiction,Animal Stories
9780099477464,Brave New World,Aldous Huxley,666.06,English,288,02 Sep 2004,3.99,1613779,Contemporary Fiction,Classic Books & Novels,Classic Science Fiction
9780330523622,The Man Who Mistook His Wife for a Hat,Oliver Sacks,658.29,English,272,02 Sep 2011,4.06,189596,Literary Essays,Literary Studies: General,"Physiological & Neuro-psychology, Biopsychology"
9781442408937,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,708.97,English,384,25 Feb 2015,4.35,399465,Children's Fiction,Children's General Story Books,Family
9780349142920,Little Fires Everywhere,Celeste Ng,660.41,English,352,22 May 2018,4.11,3186436,Contemporary Fiction,Thriller Books,Thrillers
9780006479888,A Game of Thrones : Book 1 of A Song of Ice and Fire,George R. R. Martin,673.07,English,864,01 Mar 2009,4.44,2205411,Contemporary Fiction,Adventure Books,Science Fiction
9781780722405,The 8-week Blood Sugar Diet : Lose weight and reprogramme your body,Dr Michael Mosley,658.91,English,272,17 Dec 2015,3.87,3404,Diabetes,Diets & Dieting
9781408876985,Fantastically Great Women Who Changed The World,Ms Kate Pankhurst,659.75,English,32,08 Sep 2016,4.47,942,Picture Books,Non-Fiction,General Knowledge
9783314015441,The Rainbow Fish,Marcus Pfister,656.19,English,25,01 Jul 2012,4.19,134995,Picture Books,Children's Fiction,Animal Stories
9781471407277,The Cruel Prince (The Folk of the Air),Holly Black,650.68,English,400,26 Jul 2018,4.1,539206,Children's General Story Books,Fantasy Books for Kids,Family Issues
9780920668375,Love You Forever,Robert Munsch,643.46,English,32,01 Sep 1995,4.36,219698,Children's Fiction,Classic Books for Children,Children's General Story Books
9781594746031,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,678.7,English,384,04 Jun 2013,3.91,1109017,Horror,Horror,Children's General Story Books
9780749942014,Sister : The phenomenal Sunday Times and New York Times bestseller,Rosamund Lupton,653.75,English,384,02 Sep 2010,3.77,51328,Contemporary Fiction,Crime,Crime Fiction
